LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4099544593587236
Amygdala;DICE;STD;0.03306637825381088
Amygdala;HDRFDST;MEAN;14.89013626815636
Amygdala;HDRFDST;STD;0.9401286697759067
GreyMatter;DICE;MEAN;0.4102934694282315
GreyMatter;DICE;STD;0.018845637614707013
GreyMatter;HDRFDST;MEAN;3.753864614603233
GreyMatter;HDRFDST;STD;0.5554281728808184
Hippocampus;DICE;MEAN;0.3632345358291132
Hippocampus;DICE;STD;0.029352421744949855
Hippocampus;HDRFDST;MEAN;22.099153860484762
Hippocampus;HDRFDST;STD;2.4550760987434757
Thalamus;DICE;MEAN;0.6801057659036711
Thalamus;DICE;STD;0.027053582225859414
Thalamus;HDRFDST;MEAN;33.59790219511433
Thalamus;HDRFDST;STD;6.962827592834067
WhiteMatter;DICE;MEAN;0.6568796119073624
WhiteMatter;DICE;STD;0.027849269641872332
WhiteMatter;HDRFDST;MEAN;5.566016117572521
WhiteMatter;HDRFDST;STD;0.34563648378450573
