LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.40089551959135095
Amygdala;DICE;STD;0.07349263644154352
Amygdala;HDRFDST;MEAN;16.28991620503214
Amygdala;HDRFDST;STD;4.235401991904827
GreyMatter;DICE;MEAN;0.3994356751265606
GreyMatter;DICE;STD;0.017124676806100095
GreyMatter;HDRFDST;MEAN;4.206586287330384
GreyMatter;HDRFDST;STD;1.0975571999873055
Hippocampus;DICE;MEAN;0.34527544297079305
Hippocampus;DICE;STD;0.02905436701883721
Hippocampus;HDRFDST;MEAN;21.142869708331098
Hippocampus;HDRFDST;STD;11.112113232708495
Thalamus;DICE;MEAN;0.6895169703249214
Thalamus;DICE;STD;0.025023524863005332
Thalamus;HDRFDST;MEAN;22.2758995593348
Thalamus;HDRFDST;STD;4.773290146474179
WhiteMatter;DICE;MEAN;0.6623087366597222
WhiteMatter;DICE;STD;0.06531904783723214
WhiteMatter;HDRFDST;MEAN;4.940084641035506
WhiteMatter;HDRFDST;STD;0.9977794041796493
