LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3908758028117041
Amygdala;DICE;STD;0.05560023798528644
Amygdala;HDRFDST;MEAN;14.93001533621594
Amygdala;HDRFDST;STD;2.4687328855825923
GreyMatter;DICE;MEAN;0.4018789406322506
GreyMatter;DICE;STD;0.01699774926189801
GreyMatter;HDRFDST;MEAN;4.106644421253169
GreyMatter;HDRFDST;STD;1.1115176999896246
Hippocampus;DICE;MEAN;0.3514111446754482
Hippocampus;DICE;STD;0.030994122390850205
Hippocampus;HDRFDST;MEAN;19.838918842856724
Hippocampus;HDRFDST;STD;8.271475028466469
Thalamus;DICE;MEAN;0.6882818237679852
Thalamus;DICE;STD;0.025509487955882478
Thalamus;HDRFDST;MEAN;18.64265442681491
Thalamus;HDRFDST;STD;2.872531274391687
WhiteMatter;DICE;MEAN;0.6580825993837074
WhiteMatter;DICE;STD;0.06513154995099892
WhiteMatter;HDRFDST;MEAN;4.869547429601473
WhiteMatter;HDRFDST;STD;0.766490594111688
