LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.39901379740117693
Amygdala;DICE;STD;0.06300543696065476
Amygdala;HDRFDST;MEAN;17.386308466589
Amygdala;HDRFDST;STD;3.926356823394387
GreyMatter;DICE;MEAN;0.40035063780890834
GreyMatter;DICE;STD;0.017975246923587835
GreyMatter;HDRFDST;MEAN;3.9592273023126303
GreyMatter;HDRFDST;STD;0.9615191982598451
Hippocampus;DICE;MEAN;0.3717429054254821
Hippocampus;DICE;STD;0.029680595585401252
Hippocampus;HDRFDST;MEAN;20.722479887873668
Hippocampus;HDRFDST;STD;2.6036181165200336
Thalamus;DICE;MEAN;0.6648971710129224
Thalamus;DICE;STD;0.02942001702329863
Thalamus;HDRFDST;MEAN;22.878000384470237
Thalamus;HDRFDST;STD;5.549513348770288
WhiteMatter;DICE;MEAN;0.6600124984822021
WhiteMatter;DICE;STD;0.06387910564338997
WhiteMatter;HDRFDST;MEAN;4.782787783506654
WhiteMatter;HDRFDST;STD;0.7905321106315067
