LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3824700728465706
Amygdala;DICE;STD;0.03207970728718915
Amygdala;HDRFDST;MEAN;17.949639823341826
Amygdala;HDRFDST;STD;2.05193328651329
GreyMatter;DICE;MEAN;0.4109215129265735
GreyMatter;DICE;STD;0.018319129703048224
GreyMatter;HDRFDST;MEAN;3.8283424914925006
GreyMatter;HDRFDST;STD;0.493754764871176
Hippocampus;DICE;MEAN;0.3612484103401975
Hippocampus;DICE;STD;0.027658856638144554
Hippocampus;HDRFDST;MEAN;20.168554761734267
Hippocampus;HDRFDST;STD;1.7970528158420784
Thalamus;DICE;MEAN;0.688097884270623
Thalamus;DICE;STD;0.02837937787285552
Thalamus;HDRFDST;MEAN;21.106150672423794
Thalamus;HDRFDST;STD;3.182829526214794
WhiteMatter;DICE;MEAN;0.6609193206956248
WhiteMatter;DICE;STD;0.025176980684830843
WhiteMatter;HDRFDST;MEAN;5.234002318667366
WhiteMatter;HDRFDST;STD;0.32437590567834795
