LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.39529415707104076
Amygdala;DICE;STD;0.03628631049922542
Amygdala;HDRFDST;MEAN;14.677155551745937
Amygdala;HDRFDST;STD;0.8838013972909112
GreyMatter;DICE;MEAN;0.3922003518914654
GreyMatter;DICE;STD;0.019044744837410744
GreyMatter;HDRFDST;MEAN;5.113724834306568
GreyMatter;HDRFDST;STD;0.8659205038548669
Hippocampus;DICE;MEAN;0.2527951185455148
Hippocampus;DICE;STD;0.025618093743904318
Hippocampus;HDRFDST;MEAN;19.58681006539583
Hippocampus;HDRFDST;STD;0.5973871961370543
Thalamus;DICE;MEAN;0.645382590981511
Thalamus;DICE;STD;0.027361124180732388
Thalamus;HDRFDST;MEAN;28.818328218508462
Thalamus;HDRFDST;STD;4.84808814795264
WhiteMatter;DICE;MEAN;0.6577709866432708
WhiteMatter;DICE;STD;0.02500943468417243
WhiteMatter;HDRFDST;MEAN;5.408210688719594
WhiteMatter;HDRFDST;STD;0.3889179173285022
