LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3870383131110533
Amygdala;DICE;STD;0.05283119861271347
Amygdala;HDRFDST;MEAN;15.656474456088997
Amygdala;HDRFDST;STD;3.7782016364710773
GreyMatter;DICE;MEAN;0.39882791805441636
GreyMatter;DICE;STD;0.01600562458245642
GreyMatter;HDRFDST;MEAN;3.9958214288376133
GreyMatter;HDRFDST;STD;1.238309779030326
Hippocampus;DICE;MEAN;0.3786433552410781
Hippocampus;DICE;STD;0.031055395665002143
Hippocampus;HDRFDST;MEAN;16.936362641475924
Hippocampus;HDRFDST;STD;4.273127715903036
Thalamus;DICE;MEAN;0.6595285155670082
Thalamus;DICE;STD;0.041267290750289704
Thalamus;HDRFDST;MEAN;29.618867488124426
Thalamus;HDRFDST;STD;8.259702701727578
WhiteMatter;DICE;MEAN;0.6636898717430351
WhiteMatter;DICE;STD;0.064905169953479
WhiteMatter;HDRFDST;MEAN;4.7801685868911274
WhiteMatter;HDRFDST;STD;0.8062185069193629
