LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.39904386745805154
Amygdala;DICE;STD;0.03270456010926367
Amygdala;HDRFDST;MEAN;13.9926467882607
Amygdala;HDRFDST;STD;1.142731752852578
GreyMatter;DICE;MEAN;0.4131317797651598
GreyMatter;DICE;STD;0.018870845455227256
GreyMatter;HDRFDST;MEAN;3.885211146334304
GreyMatter;HDRFDST;STD;0.5523896707937992
Hippocampus;DICE;MEAN;0.3725601658943317
Hippocampus;DICE;STD;0.02808381543530516
Hippocampus;HDRFDST;MEAN;19.487105088640995
Hippocampus;HDRFDST;STD;3.5850711658574137
Thalamus;DICE;MEAN;0.6766569336065407
Thalamus;DICE;STD;0.029601105574084404
Thalamus;HDRFDST;MEAN;33.803557557610254
Thalamus;HDRFDST;STD;8.106756222394434
WhiteMatter;DICE;MEAN;0.6601393319563699
WhiteMatter;DICE;STD;0.0244672948320549
WhiteMatter;HDRFDST;MEAN;5.223097978259947
WhiteMatter;HDRFDST;STD;0.34532232695968906
