LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4242219729722404
Amygdala;DICE;STD;0.032158719382205915
Amygdala;HDRFDST;MEAN;13.141178899099739
Amygdala;HDRFDST;STD;1.144297663134796
GreyMatter;DICE;MEAN;0.4085243160275037
GreyMatter;DICE;STD;0.0184564690673193
GreyMatter;HDRFDST;MEAN;4.166627465684553
GreyMatter;HDRFDST;STD;0.7343129865412417
Hippocampus;DICE;MEAN;0.3774859889712935
Hippocampus;DICE;STD;0.027210617785610916
Hippocampus;HDRFDST;MEAN;17.933370181521248
Hippocampus;HDRFDST;STD;1.8958464949791118
Thalamus;DICE;MEAN;0.683649960862518
Thalamus;DICE;STD;0.03033562227055376
Thalamus;HDRFDST;MEAN;20.84541575611479
Thalamus;HDRFDST;STD;0.8177052982103415
WhiteMatter;DICE;MEAN;0.658539716355961
WhiteMatter;DICE;STD;0.02660272821704016
WhiteMatter;HDRFDST;MEAN;5.391304058095866
WhiteMatter;HDRFDST;STD;0.36584225174116713
