LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.40242174341795217
Amygdala;DICE;STD;0.030350202013916812
Amygdala;HDRFDST;MEAN;16.798846592699626
Amygdala;HDRFDST;STD;2.9152621074174867
GreyMatter;DICE;MEAN;0.41141858480633403
GreyMatter;DICE;STD;0.018979895744729892
GreyMatter;HDRFDST;MEAN;3.904423342606898
GreyMatter;HDRFDST;STD;0.596220061475945
Hippocampus;DICE;MEAN;0.3479461115496154
Hippocampus;DICE;STD;0.023936448593523868
Hippocampus;HDRFDST;MEAN;19.52616588408016
Hippocampus;HDRFDST;STD;1.9049529829851686
Thalamus;DICE;MEAN;0.6886826411331068
Thalamus;DICE;STD;0.03261836821418704
Thalamus;HDRFDST;MEAN;23.11992285548736
Thalamus;HDRFDST;STD;5.483536008481499
WhiteMatter;DICE;MEAN;0.658350336928306
WhiteMatter;DICE;STD;0.0288418695850152
WhiteMatter;HDRFDST;MEAN;5.2524683200230005
WhiteMatter;HDRFDST;STD;0.3340307577974689
