LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.40728719539934977
Amygdala;DICE;STD;0.06925819365533367
Amygdala;HDRFDST;MEAN;16.88945435559649
Amygdala;HDRFDST;STD;2.5191926425390343
GreyMatter;DICE;MEAN;0.4028811587571477
GreyMatter;DICE;STD;0.01877443962485332
GreyMatter;HDRFDST;MEAN;4.103427339779192
GreyMatter;HDRFDST;STD;1.2090839785360938
Hippocampus;DICE;MEAN;0.3576824383264973
Hippocampus;DICE;STD;0.02798639232123787
Hippocampus;HDRFDST;MEAN;16.681670670261777
Hippocampus;HDRFDST;STD;6.206598395975683
Thalamus;DICE;MEAN;0.6761692580782935
Thalamus;DICE;STD;0.032778530418247374
Thalamus;HDRFDST;MEAN;24.125108947659935
Thalamus;HDRFDST;STD;8.802222347994766
WhiteMatter;DICE;MEAN;0.6585263708887732
WhiteMatter;DICE;STD;0.06411281340469997
WhiteMatter;HDRFDST;MEAN;4.93866059147465
WhiteMatter;HDRFDST;STD;0.7138848382023882
