LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3959664445920673
Amygdala;DICE;STD;0.06282538398263748
Amygdala;HDRFDST;MEAN;14.181129612850096
Amygdala;HDRFDST;STD;1.3767944303874902
GreyMatter;DICE;MEAN;0.3960510345612183
GreyMatter;DICE;STD;0.01783945186850445
GreyMatter;HDRFDST;MEAN;4.119876996213971
GreyMatter;HDRFDST;STD;0.9091828947285252
Hippocampus;DICE;MEAN;0.36617845981235964
Hippocampus;DICE;STD;0.03646771488360829
Hippocampus;HDRFDST;MEAN;15.688512175424908
Hippocampus;HDRFDST;STD;2.1143759650413196
Thalamus;DICE;MEAN;0.6644228241988486
Thalamus;DICE;STD;0.02462791225208538
Thalamus;HDRFDST;MEAN;24.128227012131312
Thalamus;HDRFDST;STD;6.428737142787601
WhiteMatter;DICE;MEAN;0.6634128266713544
WhiteMatter;DICE;STD;0.0637543552557097
WhiteMatter;HDRFDST;MEAN;4.9826304965107
WhiteMatter;HDRFDST;STD;0.6880358531657697
