LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.408942258335086
Amygdala;DICE;STD;0.03342961875437909
Amygdala;HDRFDST;MEAN;13.153894454708176
Amygdala;HDRFDST;STD;0.9874516061040419
GreyMatter;DICE;MEAN;0.41179399526335797
GreyMatter;DICE;STD;0.02034872863489942
GreyMatter;HDRFDST;MEAN;3.6331731997238492
GreyMatter;HDRFDST;STD;0.44727228933655905
Hippocampus;DICE;MEAN;0.36222482833750236
Hippocampus;DICE;STD;0.024814059459814176
Hippocampus;HDRFDST;MEAN;22.801418505691906
Hippocampus;HDRFDST;STD;4.335356286199638
Thalamus;DICE;MEAN;0.6919746244085736
Thalamus;DICE;STD;0.027804753653811017
Thalamus;HDRFDST;MEAN;25.599389487113704
Thalamus;HDRFDST;STD;4.344106109092226
WhiteMatter;DICE;MEAN;0.6614298320266905
WhiteMatter;DICE;STD;0.027524881856282428
WhiteMatter;HDRFDST;MEAN;5.157093516899612
WhiteMatter;HDRFDST;STD;0.323088931955255
