LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4125231913976039
Amygdala;DICE;STD;0.030995166766620074
Amygdala;HDRFDST;MEAN;14.581681426455948
Amygdala;HDRFDST;STD;1.4051927901002057
GreyMatter;DICE;MEAN;0.40626622462053347
GreyMatter;DICE;STD;0.018759333471966743
GreyMatter;HDRFDST;MEAN;3.715706117712462
GreyMatter;HDRFDST;STD;0.541782287265083
Hippocampus;DICE;MEAN;0.3708595167861749
Hippocampus;DICE;STD;0.026987819509718056
Hippocampus;HDRFDST;MEAN;18.673990755050305
Hippocampus;HDRFDST;STD;3.0466488606821422
Thalamus;DICE;MEAN;0.6845142914736769
Thalamus;DICE;STD;0.030058211796850507
Thalamus;HDRFDST;MEAN;20.17032031412769
Thalamus;HDRFDST;STD;2.942478279526942
WhiteMatter;DICE;MEAN;0.6622928323085133
WhiteMatter;DICE;STD;0.025520648479536296
WhiteMatter;HDRFDST;MEAN;5.167910003925834
WhiteMatter;HDRFDST;STD;0.30447691426984536
