LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.06334221535539977
Amygdala;DICE;STD;0.007696259061162079
Amygdala;HDRFDST;MEAN;77.40638244343782
Amygdala;HDRFDST;STD;1.2049717923016239
GreyMatter;DICE;MEAN;0.3684992689633515
GreyMatter;DICE;STD;0.01813938284081679
GreyMatter;HDRFDST;MEAN;7.648770907513585
GreyMatter;HDRFDST;STD;0.8344480836899416
Hippocampus;DICE;MEAN;0.1105421514892663
Hippocampus;DICE;STD;0.007340086971424896
Hippocampus;HDRFDST;MEAN;33.95511694743637
Hippocampus;HDRFDST;STD;1.3964358509859107
Thalamus;DICE;MEAN;0.18971442224585613
Thalamus;DICE;STD;0.012073528772420647
Thalamus;HDRFDST;MEAN;50.260903031776905
Thalamus;HDRFDST;STD;0.9703743763719964
WhiteMatter;DICE;MEAN;0.6678865196896429
WhiteMatter;DICE;STD;0.03168692943802477
WhiteMatter;HDRFDST;MEAN;8.641210074260332
WhiteMatter;HDRFDST;STD;0.3598450395680357
