LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.40823571851565665
Amygdala;DICE;STD;0.06503529073568315
Amygdala;HDRFDST;MEAN;14.17727619853729
Amygdala;HDRFDST;STD;1.5507545229300592
GreyMatter;DICE;MEAN;0.40031455939182237
GreyMatter;DICE;STD;0.016610783350276628
GreyMatter;HDRFDST;MEAN;4.159852903256631
GreyMatter;HDRFDST;STD;1.0467205086685625
Hippocampus;DICE;MEAN;0.3674751201752332
Hippocampus;DICE;STD;0.03236693007708248
Hippocampus;HDRFDST;MEAN;24.41843242562086
Hippocampus;HDRFDST;STD;2.8178285745211187
Thalamus;DICE;MEAN;0.6895850466868481
Thalamus;DICE;STD;0.03697862145003681
Thalamus;HDRFDST;MEAN;25.383795552321708
Thalamus;HDRFDST;STD;7.8843467299410825
WhiteMatter;DICE;MEAN;0.660230952055523
WhiteMatter;DICE;STD;0.06033597864634478
WhiteMatter;HDRFDST;MEAN;4.993058839470143
WhiteMatter;HDRFDST;STD;0.9845625554473767
