LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.39799409885392856
Amygdala;DICE;STD;0.05446123092182261
Amygdala;HDRFDST;MEAN;14.32355846416056
Amygdala;HDRFDST;STD;1.742318261332975
GreyMatter;DICE;MEAN;0.39906956418942513
GreyMatter;DICE;STD;0.0191530881491172
GreyMatter;HDRFDST;MEAN;4.071744191914576
GreyMatter;HDRFDST;STD;1.555923917037693
Hippocampus;DICE;MEAN;0.3673821924615582
Hippocampus;DICE;STD;0.03437588151715803
Hippocampus;HDRFDST;MEAN;16.5343566548409
Hippocampus;HDRFDST;STD;2.741359153872147
Thalamus;DICE;MEAN;0.662000826763276
Thalamus;DICE;STD;0.040302929787946334
Thalamus;HDRFDST;MEAN;23.33561912269521
Thalamus;HDRFDST;STD;8.639958342521195
WhiteMatter;DICE;MEAN;0.660822728531603
WhiteMatter;DICE;STD;0.06221807065492078
WhiteMatter;HDRFDST;MEAN;4.754309364846996
WhiteMatter;HDRFDST;STD;0.7046576923075167
