LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4042970580102727
Amygdala;DICE;STD;0.06557018206890897
Amygdala;HDRFDST;MEAN;14.804012204069256
Amygdala;HDRFDST;STD;1.393277668581733
GreyMatter;DICE;MEAN;0.4006237165866279
GreyMatter;DICE;STD;0.016591343961571896
GreyMatter;HDRFDST;MEAN;4.043572748027755
GreyMatter;HDRFDST;STD;1.072156439801247
Hippocampus;DICE;MEAN;0.3644057541959349
Hippocampus;DICE;STD;0.02460108869366003
Hippocampus;HDRFDST;MEAN;14.82292184081561
Hippocampus;HDRFDST;STD;1.510294044572621
Thalamus;DICE;MEAN;0.683234391022239
Thalamus;DICE;STD;0.028286715166647866
Thalamus;HDRFDST;MEAN;16.775267425537148
Thalamus;HDRFDST;STD;5.9321499308186825
WhiteMatter;DICE;MEAN;0.6633311622917315
WhiteMatter;DICE;STD;0.0648672068782733
WhiteMatter;HDRFDST;MEAN;4.826064048720414
WhiteMatter;HDRFDST;STD;0.7135165013146688
