LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3812608590259724
Amygdala;DICE;STD;0.05968621402046815
Amygdala;HDRFDST;MEAN;15.642330158391363
Amygdala;HDRFDST;STD;3.133290158264963
GreyMatter;DICE;MEAN;0.39723458250036386
GreyMatter;DICE;STD;0.016703713941654985
GreyMatter;HDRFDST;MEAN;4.078730398683634
GreyMatter;HDRFDST;STD;0.9294935905395216
Hippocampus;DICE;MEAN;0.3541038319275846
Hippocampus;DICE;STD;0.026136554045557144
Hippocampus;HDRFDST;MEAN;17.392615481184578
Hippocampus;HDRFDST;STD;6.767342663384096
Thalamus;DICE;MEAN;0.6806619330332533
Thalamus;DICE;STD;0.02842665702096246
Thalamus;HDRFDST;MEAN;21.952143336534363
Thalamus;HDRFDST;STD;7.197458088259354
WhiteMatter;DICE;MEAN;0.6620418672888126
WhiteMatter;DICE;STD;0.06495752146778057
WhiteMatter;HDRFDST;MEAN;4.864778635604478
WhiteMatter;HDRFDST;STD;0.6587327428982407
