LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.396592767987882
Amygdala;DICE;STD;0.06006851079270857
Amygdala;HDRFDST;MEAN;13.176899618739952
Amygdala;HDRFDST;STD;1.1266394443880035
GreyMatter;DICE;MEAN;0.3963119653784772
GreyMatter;DICE;STD;0.017746559275844603
GreyMatter;HDRFDST;MEAN;4.511637579534466
GreyMatter;HDRFDST;STD;1.2826247896140128
Hippocampus;DICE;MEAN;0.36270039150007616
Hippocampus;DICE;STD;0.030209128699844594
Hippocampus;HDRFDST;MEAN;14.97855476770781
Hippocampus;HDRFDST;STD;1.686089283157233
Thalamus;DICE;MEAN;0.6709034275317027
Thalamus;DICE;STD;0.041383273855459785
Thalamus;HDRFDST;MEAN;23.57910902494009
Thalamus;HDRFDST;STD;7.913634916395172
WhiteMatter;DICE;MEAN;0.6595901013147916
WhiteMatter;DICE;STD;0.05796946333741665
WhiteMatter;HDRFDST;MEAN;4.828453641316552
WhiteMatter;HDRFDST;STD;0.765529511943809
