LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.38774916461784076
Amygdala;DICE;STD;0.07290112480774659
Amygdala;HDRFDST;MEAN;14.434333771836876
Amygdala;HDRFDST;STD;2.636286889397559
GreyMatter;DICE;MEAN;0.39658077381435064
GreyMatter;DICE;STD;0.01756956950719554
GreyMatter;HDRFDST;MEAN;4.481917387845969
GreyMatter;HDRFDST;STD;1.2298034511758251
Hippocampus;DICE;MEAN;0.3562231763300433
Hippocampus;DICE;STD;0.023877981402193563
Hippocampus;HDRFDST;MEAN;17.373877497914403
Hippocampus;HDRFDST;STD;1.6578240821822874
Thalamus;DICE;MEAN;0.6928671112609743
Thalamus;DICE;STD;0.02635458635327822
Thalamus;HDRFDST;MEAN;24.509560183396186
Thalamus;HDRFDST;STD;6.203342616402906
WhiteMatter;DICE;MEAN;0.6628763598120844
WhiteMatter;DICE;STD;0.06390199490396593
WhiteMatter;HDRFDST;MEAN;5.04275676505853
WhiteMatter;HDRFDST;STD;0.755383484368321
