LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4053481768533726
Amygdala;DICE;STD;0.06677786426218615
Amygdala;HDRFDST;MEAN;13.852317694284341
Amygdala;HDRFDST;STD;1.1459906180318256
GreyMatter;DICE;MEAN;0.40171563649620723
GreyMatter;DICE;STD;0.017783879794915497
GreyMatter;HDRFDST;MEAN;4.2211452510846454
GreyMatter;HDRFDST;STD;0.884269624744368
Hippocampus;DICE;MEAN;0.37919918416731035
Hippocampus;DICE;STD;0.029514718759385866
Hippocampus;HDRFDST;MEAN;13.769193785287044
Hippocampus;HDRFDST;STD;2.0998339227692866
Thalamus;DICE;MEAN;0.6788610570829692
Thalamus;DICE;STD;0.03241967711830423
Thalamus;HDRFDST;MEAN;23.032929311437773
Thalamus;HDRFDST;STD;6.2357170665698805
WhiteMatter;DICE;MEAN;0.6600462763394617
WhiteMatter;DICE;STD;0.0630542587882812
WhiteMatter;HDRFDST;MEAN;4.816388812034278
WhiteMatter;HDRFDST;STD;0.8957671635592803
