LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.40060434079576746
Amygdala;DICE;STD;0.05634083561780273
Amygdala;HDRFDST;MEAN;13.685590832820148
Amygdala;HDRFDST;STD;1.1851597177718667
GreyMatter;DICE;MEAN;0.402234639733957
GreyMatter;DICE;STD;0.01717652982867741
GreyMatter;HDRFDST;MEAN;4.2271106295673695
GreyMatter;HDRFDST;STD;1.1539218887769478
Hippocampus;DICE;MEAN;0.3666734880381751
Hippocampus;DICE;STD;0.02794431616816738
Hippocampus;HDRFDST;MEAN;19.382976039436333
Hippocampus;HDRFDST;STD;12.747558191851368
Thalamus;DICE;MEAN;0.6641493466749603
Thalamus;DICE;STD;0.03717783682757627
Thalamus;HDRFDST;MEAN;29.130765077207275
Thalamus;HDRFDST;STD;6.789589532258991
WhiteMatter;DICE;MEAN;0.6583781335858905
WhiteMatter;DICE;STD;0.06593547720756153
WhiteMatter;HDRFDST;MEAN;4.9224126991225985
WhiteMatter;HDRFDST;STD;0.9326592193918288
