LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.38437279786186573
Amygdala;DICE;STD;0.05450559539265406
Amygdala;HDRFDST;MEAN;16.548994537548317
Amygdala;HDRFDST;STD;2.393904717443026
GreyMatter;DICE;MEAN;0.4038153433456556
GreyMatter;DICE;STD;0.017193868095166022
GreyMatter;HDRFDST;MEAN;4.106609165359076
GreyMatter;HDRFDST;STD;1.0177235199153252
Hippocampus;DICE;MEAN;0.374307700925523
Hippocampus;DICE;STD;0.028364787421015718
Hippocampus;HDRFDST;MEAN;21.610434101282358
Hippocampus;HDRFDST;STD;4.815510144744025
Thalamus;DICE;MEAN;0.6762258146945377
Thalamus;DICE;STD;0.029987185453085635
Thalamus;HDRFDST;MEAN;22.665088386717926
Thalamus;HDRFDST;STD;5.421602016218463
WhiteMatter;DICE;MEAN;0.6579499398794205
WhiteMatter;DICE;STD;0.06462738321259617
WhiteMatter;HDRFDST;MEAN;5.068077428558434
WhiteMatter;HDRFDST;STD;0.9563426049991369
