LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.40263198091044894
Amygdala;DICE;STD;0.06885536362299724
Amygdala;HDRFDST;MEAN;14.149000466603061
Amygdala;HDRFDST;STD;1.4511325907946524
GreyMatter;DICE;MEAN;0.4005114321993169
GreyMatter;DICE;STD;0.01725142243144234
GreyMatter;HDRFDST;MEAN;4.191889348402749
GreyMatter;HDRFDST;STD;0.8532664828455291
Hippocampus;DICE;MEAN;0.37805813929195453
Hippocampus;DICE;STD;0.029148323788696206
Hippocampus;HDRFDST;MEAN;13.880524546093904
Hippocampus;HDRFDST;STD;2.1050031651483665
Thalamus;DICE;MEAN;0.6772027510385629
Thalamus;DICE;STD;0.03156630778656381
Thalamus;HDRFDST;MEAN;24.026034177532402
Thalamus;HDRFDST;STD;6.726788364445911
WhiteMatter;DICE;MEAN;0.6617720430537375
WhiteMatter;DICE;STD;0.06412495912224908
WhiteMatter;HDRFDST;MEAN;4.750175596533192
WhiteMatter;HDRFDST;STD;0.7973906207753712
