LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4050926896807387
Amygdala;DICE;STD;0.06312787579819794
Amygdala;HDRFDST;MEAN;14.274043813477476
Amygdala;HDRFDST;STD;1.9369236461268418
GreyMatter;DICE;MEAN;0.39912781282931026
GreyMatter;DICE;STD;0.017780527461441698
GreyMatter;HDRFDST;MEAN;4.511392939180097
GreyMatter;HDRFDST;STD;1.2439187064740054
Hippocampus;DICE;MEAN;0.35510304048412944
Hippocampus;DICE;STD;0.03238702809530094
Hippocampus;HDRFDST;MEAN;21.172383076144556
Hippocampus;HDRFDST;STD;11.875613452659515
Thalamus;DICE;MEAN;0.6697196649508863
Thalamus;DICE;STD;0.03463885258016026
Thalamus;HDRFDST;MEAN;25.838587508465377
Thalamus;HDRFDST;STD;9.298784628508017
WhiteMatter;DICE;MEAN;0.6589824544559276
WhiteMatter;DICE;STD;0.06453024219104797
WhiteMatter;HDRFDST;MEAN;4.758638495772338
WhiteMatter;HDRFDST;STD;0.7452245745770694
